Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Japan,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Jordan,<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers."
Kazakhstan,<500 ,<200 , 1500,,<1000 ,<500 , 1600,,<1000 ,<500 , 1600,,<1000 ,<500 , 1700,,1100 ,<1000 , 1900,,1400 ,<1000 , 2200,,1700 ,1100 , 2700,,2200 ,1500 , 3200,,2700 ,2000 , 3800,,3300 ,2600 , 4500,,4000 ,3200 , 5200,,4800 ,4000 , 6000,,5600 ,4800 , 6900,,6500 ,5600 , 7700,,7400 ,6500 , 8700,,8300 ,7300 , 9600,,9400 ,8400 , 11 000,,11 000 ,9500 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 15 000,,15 000 ,13 000 , 17 000,,16 000 ,15 000 , 18 000,,18 000 ,16 000 , 20 000,,20 000 ,18 000 , 23 000,,22 000 ,19 000 , 25 000,,24 000 ,21 000 , 28 000,,26 000 ,22 000 , 30 000,
Kenya,690 000 ,560 000 , 870 000,,870 000 ,710 000 , 1 100 000,,1 000 000 ,860 000 , 1 300 000,,1 200 000 ,1 000 000 , 1 500 000,,1 400 000 ,1 200 000 , 1 600 000,,1 500 000 ,1 300 000 , 1 800 000,,1 600 000 ,1 400 000 , 1 900 000,,1 700 000 ,1 500 000 , 2 000 000,,1 800 000 ,1 500 000 , 2 000 000,,1 800 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 600 000 , 2 000 000,,1 800 000 ,1 600 000 , 2 000 000,,1 700 000 ,1 500 000 , 1 900 000,,1 700 000 ,1 500 000 , 1 800 000,,1 600 000 ,1 400 000 , 1 800 000,,1 600 000 ,1 400 000 , 1 700 000,,1 500 000 ,1 400 000 , 1 700 000,,1 500 000 ,1 400 000 , 1 700 000,,1 500 000 ,1 300 000 , 1 600 000,,1 500 000 ,1 300 000 , 1 600 000,,1 500 000 ,1 400 000 , 1 600 000,,1 500 000 ,1 400 000 , 1 600 000,,1 500 000 ,1 400 000 , 1 700 000,,1 500 000 ,1 400 000 , 1 700 000,,1 600 000 ,1 400 000 , 1 700 000,,1 600 000 ,1 400 000 , 1 700 000,,1 600 000 ,1 400 000 , 1 800 000,
Kuwait,<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates are for citizens of the country only. Estimates for children are not published because of small numbers."
Kyrgyzstan,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <1000,,<200 ,<100 , <1000,,<500 ,<100 , 1200,,<500 ,<100 , 1600,,<1000 ,<200 , 1900,,<1000 ,<500 , 2300,,1100 ,<500 , 2500,,1400 ,<1000 , 2700,,1600 ,<1000 , 2900,,1900 ,1100 , 3000,,2100 ,1400 , 3300,,2400 ,1700 , 3500,,2700 ,2000 , 3700,,3100 ,2400 , 4200,,3600 ,2700 , 4800,,4100 ,3100 , 5500,,4700 ,3600 , 6200,,5200 ,4000 , 7000,,5800 ,4400 , 7800,,6400 ,4800 , 8500,,7000 ,5200 , 9400,,7500 ,5600 , 10 000,,8000 ,6000 , 11 000,,8500 ,6300 , 11 000,
Lao People's Democratic Republic,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<1000 ,<1000 , <1000,,1100 ,1000 , 1200,,1700 ,1600 , 1900,,2500 ,2300 , 2700,,3300 ,3000 , 3700,,4200 ,3800 , 4600,,5000 ,4500 , 5600,,5900 ,5300 , 6600,,6700 ,6000 , 7500,,7500 ,6600 , 8400,,8200 ,7300 , 9200,,8900 ,7800 , 10 000,,9500 ,8300 , 11 000,,10 000 ,8800 , 11 000,,10 000 ,9100 , 12 000,,11 000 ,9400 , 12 000,,11 000 ,9700 , 13 000,,11 000 ,9900 , 13 000,,11 000 ,10 000 , 13 000,
Latvia,1000 ,<1000 , 1100,,1700 ,1700 , 1800,,2800 ,2600 , 2900,,3800 ,3600 , 4000,,4500 ,4200 , 4800,,5000 ,4700 , 5400,,5400 ,5000 , 5800,,5700 ,5300 , 6200,,6000 ,5400 , 6600,,6200 ,5600 , 6900,,6400 ,5600 , 7100,,6500 ,5700 , 7300,,6500 ,5700 , 7400,,6600 ,5700 , 7500,,6600 ,5800 , 7500,,6600 ,5800 , 7600,,6600 ,5800 , 7500,,6600 ,5800 , 7500,,6600 ,5800 , 7500,,6600 ,5800 , 7500,,6600 ,5800 , 7500,,6600 ,5800 , 7400,,6600 ,5800 , 7400,,6500 ,5800 , 7400,,6500 ,5800 , 7400,,6500 ,5800 , 7400,,6600 ,5900 , 7400,
Lebanon,<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1100,"Estimates for children are not published because of small numbers.",1000 ,<1000 , 1200,"Estimates for children are not published because of small numbers.",1100 ,<1000 , 1300,"Estimates for children are not published because of small numbers.",1200 ,1000 , 1300,"Estimates for children are not published because of small numbers.",1200 ,1100 , 1400,"Estimates for children are not published because of small numbers.",1300 ,1100 , 1500,"Estimates for children are not published because of small numbers.",1300 ,1200 , 1500,"Estimates for children are not published because of small numbers.",1400 ,1200 , 1600,"Estimates for children are not published because of small numbers.",1500 ,1300 , 1700,"Estimates for children are not published because of small numbers.",1600 ,1400 , 1800,"Estimates for children are not published because of small numbers.",1700 ,1500 , 1900,"Estimates for children are not published because of small numbers.",1800 ,1600 , 2100,"Estimates for children are not published because of small numbers.",2000 ,1800 , 2300,"Estimates for children are not published because of small numbers.",2100 ,1900 , 2400,"Estimates for children are not published because of small numbers.",2200 ,1900 , 2500,"Estimates for children are not published because of small numbers.",2200 ,2000 , 2600,"Estimates for children are not published because of small numbers."
Lesotho,9700 ,8000 , 12 000,,18 000 ,16 000 , 21 000,,32 000 ,28 000 , 36 000,,51 000 ,46 000 , 57 000,,75 000 ,68 000 , 83 000,,100 000 ,94 000 , 110 000,,130 000 ,120 000 , 140 000,,160 000 ,140 000 , 170 000,,180 000 ,170 000 , 190 000,,200 000 ,180 000 , 210 000,,210 000 ,200 000 , 230 000,,220 000 ,210 000 , 240 000,,230 000 ,210 000 , 240 000,,230 000 ,220 000 , 250 000,,240 000 ,220 000 , 250 000,,240 000 ,220 000 , 250 000,,240 000 ,220 000 , 260 000,,250 000 ,230 000 , 260 000,,250 000 ,230 000 , 270 000,,260 000 ,240 000 , 280 000,,270 000 ,250 000 , 290 000,,280 000 ,260 000 , 300 000,,290 000 ,270 000 , 310 000,,310 000 ,280 000 , 330 000,,310 000 ,290 000 , 340 000,,320 000 ,300 000 , 350 000,,330 000 ,300 000 , 360 000,
Liberia,28 000 ,13 000 , 52 000,,32 000 ,16 000 , 57 000,,37 000 ,19 000 , 61 000,,41 000 ,22 000 , 65 000,,45 000 ,26 000 , 68 000,,50 000 ,30 000 , 72 000,,55 000 ,36 000 , 76 000,,61 000 ,42 000 , 80 000,,65 000 ,48 000 , 83 000,,68 000 ,52 000 , 83 000,,67 000 ,54 000 , 80 000,,66 000 ,56 000 , 78 000,,64 000 ,54 000 , 74 000,,61 000 ,52 000 , 71 000,,58 000 ,49 000 , 67 000,,56 000 ,46 000 , 65 000,,54 000 ,44 000 , 64 000,,52 000 ,42 000 , 62 000,,50 000 ,40 000 , 61 000,,48 000 ,38 000 , 59 000,,46 000 ,37 000 , 57 000,,45 000 ,36 000 , 56 000,,44 000 ,35 000 , 55 000,,44 000 ,35 000 , 54 000,,44 000 ,35 000 , 55 000,,43 000 ,34 000 , 54 000,,43 000 ,34 000 , 55 000,
Lithuania,<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , 1000,"Estimates for children are not published because of small numbers.",1000 ,<1000 , 1100,"Estimates for children are not published because of small numbers.",1100 ,1000 , 1200,"Estimates for children are not published because of small numbers.",1200 ,1100 , 1300,"Estimates for children are not published because of small numbers.",1300 ,1200 , 1500,"Estimates for children are not published because of small numbers.",1400 ,1300 , 1600,"Estimates for children are not published because of small numbers.",1600 ,1400 , 1700,"Estimates for children are not published because of small numbers.",1700 ,1500 , 1900,"Estimates for children are not published because of small numbers.",1800 ,1600 , 2000,"Estimates for children are not published because of small numbers.",1900 ,1800 , 2100,"Estimates for children are not published because of small numbers.",2100 ,1900 , 2300,"Estimates for children are not published because of small numbers.",2200 ,2000 , 2400,"Estimates for children are not published because of small numbers.",2300 ,2100 , 2500,"Estimates for children are not published because of small numbers.",2400 ,2100 , 2600,"Estimates for children are not published because of small numbers.",2500 ,2200 , 2700,"Estimates for children are not published because of small numbers.",2600 ,2300 , 2800,"Estimates for children are not published because of small numbers.",2700 ,2400 , 3000,"Estimates for children are not published because of small numbers.",2800 ,2600 , 3100,"Estimates for children are not published because of small numbers.",2900 ,2700 , 3300,"Estimates for children are not published because of small numbers."
Luxembourg,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Madagascar,<1000 ,<200 , 2000,,1400 ,<500 , 3100,,2100 ,<1000 , 4700,,3200 ,1000 , 6900,,4500 ,1700 , 9300,,6100 ,2500 , 12 000,,8000 ,3600 , 15 000,,10 000 ,5000 , 18 000,,12 000 ,6700 , 20 000,,14 000 ,8400 , 22 000,,16 000 ,10 000 , 24 000,,17 000 ,12 000 , 24 000,,18 000 ,13 000 , 25 000,,18 000 ,14 000 , 24 000,,19 000 ,15 000 , 24 000,,19 000 ,15 000 , 23 000,,19 000 ,16 000 , 23 000,,19 000 ,16 000 , 23 000,,19 000 ,16 000 , 23 000,,20 000 ,17 000 , 23 000,,21 000 ,18 000 , 24 000,,22 000 ,18 000 , 25 000,,23 000 ,20 000 , 26 000,,24 000 ,21 000 , 29 000,,26 000 ,22 000 , 31 000,,28 000 ,24 000 , 34 000,,31 000 ,25 000 , 39 000,
Malawi,450 000 ,390 000 , 490 000,,510 000 ,450 000 , 560 000,,570 000 ,510 000 , 620 000,,620 000 ,570 000 , 680 000,,680 000 ,620 000 , 730 000,,740 000 ,680 000 , 790 000,,790 000 ,740 000 , 850 000,,840 000 ,790 000 , 900 000,,880 000 ,830 000 , 940 000,,910 000 ,860 000 , 970 000,,930 000 ,880 000 , 990 000,,950 000 ,890 000 , 1 000 000,,960 000 ,890 000 , 1 000 000,,960 000 ,890 000 , 1 000 000,,960 000 ,880 000 , 1 000 000,,950 000 ,870 000 , 1 000 000,,950 000 ,870 000 , 1 000 000,,950 000 ,870 000 , 1 000 000,,950 000 ,870 000 , 1 000 000,,960 000 ,880 000 , 1 000 000,,970 000 ,900 000 , 1 000 000,,980 000 ,920 000 , 1 000 000,,990 000 ,930 000 , 1 000 000,,1 000 000 ,940 000 , 1 100 000,,1 000 000 ,950 000 , 1 100 000,,1 000 000 ,960 000 , 1 100 000,,1 000 000 ,970 000 , 1 100 000,
Malaysia,9600 ,8700 , 10 000,,29 000 ,26 000 , 32 000,,47 000 ,42 000 , 51 000,,58 000 ,52 000 , 63 000,,67 000 ,60 000 , 73 000,,74 000 ,67 000 , 81 000,,81 000 ,74 000 , 89 000,,88 000 ,79 000 , 96 000,,93 000 ,84 000 , 100 000,,98 000 ,88 000 , 110 000,,100 000 ,92 000 , 110 000,,100 000 ,95 000 , 110 000,,110 000 ,97 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,98 000 , 120 000,,110 000 ,96 000 , 120 000,,100 000 ,93 000 , 110 000,,99 000 ,90 000 , 110 000,,97 000 ,88 000 , 110 000,
Maldives,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Mali,44 000 ,22 000 , 83 000,,50 000 ,26 000 , 88 000,,56 000 ,31 000 , 93 000,,61 000 ,37 000 , 98 000,,67 000 ,43 000 , 100 000,,73 000 ,49 000 , 100 000,,78 000 ,57 000 , 110 000,,84 000 ,64 000 , 110 000,,89 000 ,71 000 , 110 000,,94 000 ,79 000 , 110 000,,99 000 ,85 000 , 110 000,,100 000 ,91 000 , 120 000,,110 000 ,93 000 , 120 000,,110 000 ,94 000 , 120 000,,110 000 ,94 000 , 120 000,,110 000 ,93 000 , 130 000,,110 000 ,93 000 , 130 000,,110 000 ,93 000 , 130 000,,110 000 ,93 000 , 130 000,,110 000 ,93 000 , 130 000,,110 000 ,94 000 , 130 000,,110 000 ,94 000 , 130 000,,110 000 ,94 000 , 130 000,,110 000 ,95 000 , 140 000,,110 000 ,93 000 , 140 000,,110 000 ,91 000 , 130 000,,110 000 ,89 000 , 130 000,
Malta,<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Historical incidence trends were not available or not reliable. Estimates for children are not published because of small numbers."
